company,role,location,link,age
Iridium Communications,Software Engineer I,"Chandler, AZ",https://careers-iridium.icims.com/jobs/4644/job?utm_source=Simplify&ref=Simplify,0d
🔥 Amazon,"System Dev Engineer I, Analytics ADC 🛂","Denver, CO",https://www.amazon.jobs/en/jobs/3066890/system-dev-engineer-i-analytics-adc?utm_source=Simplify&ref=Simplify,0d
🔥 NVIDIA,GPU Architecture Engineer,"Santa Clara, CA, Austin, TX, Durham, NC",http://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/GPU-Architecture-Engineer---New-College-Grad-2025_JR2002495?utm_source=Simplify&ref=Simplify,0d
🔥 NVIDIA,OEM Account Applications Engineer,"Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/OEM-Account-Applications-Engineer---New-College-Grad-2025_JR2002780?utm_source=Simplify&ref=Simplify,0d
🔥 TikTok,AI/ML Software Engineer Graduate (Data Platform TikTok BP),"San Jose, CA",https://lifeattiktok.com/search/7541178634444589319?utm_source=Simplify&ref=Simplify,0d
🔥 Tesla,"Software Integration Engineer, Factory Firmware","Fremont, CA",https://www.tesla.com/careers/search/job/software-integration-engineer-factory-firmware-249467?utm_source=Simplify&ref=Simplify,0d
🔥 Tesla,Kernel Software Engineer,"Palo Alto, CA",https://www.tesla.com/careers/search/job/248966?utm_source=Simplify&ref=Simplify,0d
🔥 ByteDance,Machine Learning Graduate (eCommerce User Growth & Intelligent Marketing),"San Jose, CA",https://joinbytedance.com/search/7542657938525538578?utm_source=Simplify&ref=Simplify,0d
🔥 ByteDance,Software Engineer Graduate (AI Applications),"San Jose, CA",https://joinbytedance.com/search/7540808448918079752?utm_source=Simplify&ref=Simplify,0d
🔥 Microsoft,Software Engineer,Remote,https://jobs.careers.microsoft.com/global/en/job/1843258/Software-Engineer?utm_source=Simplify&ref=Simplify,0d
Abbott,Software Quality Engineer I,"Sylmar, CA",https://abbott.wd5.myworkdayjobs.com/en-US/abbottcareers/job/United-States---California---Sylmar/Software-Quality-Engineer-I_31128083-1?utm_source=Simplify&ref=Simplify,0d
Aurora,Security Software Engineer I,"Mountain View, CA",https://aurora.tech/careers/8137861002?utm_source=Simplify&ref=Simplify,0d
🔥 NVIDIA,"Software Engineer, TensorRT Specialized Platforms 🎓","Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Software-Engineer--TensorRT-Specialized-Platforms---New-College-Grad-2025_JR2002870?utm_source=Simplify&ref=Simplify,0d
Commure,"Software Engineer, Ambient AI (Summer 2026 New Grad)","Mountain View, CA",https://www.commure.com/careers-detail?ashby_jid=0f13b112-8d8c-4fb1-ae3d-449cc36cd89e&utm_source=Simplify&ref=Simplify,1d
Commure,Software Engineer (Summer 2026 New Grad),"Mountain View, CA",https://www.commure.com/careers-detail?ashby_jid=00dbfa4a-986c-4c98-a966-47874d1ff0f8&utm_source=Simplify&ref=Simplify,1d
🔥 Samsara,New Grad – Software Engineering,SF,https://www.samsara.com/company/careers/roles/7172579?gh_jid=7172579&utm_source=Simplify&ref=Simplify,1d
Abridge,Full Stack Engineering,"San Francisco, CA",https://jobs.ashbyhq.com/abridge/55958eb5-109f-4e88-9793-ed2327fc753a?utm_source=Simplify&ref=Simplify,1d
Cape,Software Engineer,"New York, NY, Washington, DC",https://jobs.ashbyhq.com/Cape/bd280ded-4298-47de-a186-1aebd1bd94b8?utm_source=Simplify&ref=Simplify,1d
Jerry,Software Engineer I,"San Francisco, CA, Palo Alto, CA",https://jobs.ashbyhq.com/jerry.ai/3bb80177-b737-419c-8133-dd5f60a8a270?utm_source=Simplify&ref=Simplify,1d
